file_stem,INTRO_mtld,INTRO_sentence_length,BODY_mtld,BODY_sentence_length,DISCUSSION_mtld,DISCUSSION_sentence_length,CONCLUSION_mtld,CONCLUSION_sentence_length,OTHER_mtld,OTHER_sentence_length
04-_Let us tend this garden together__ Postcolonial time travel in Ng Yi-Sheng_s _Garden_,120.04393464071723,36.70967741935484,,,,,140.0,34.5,94.72442849082297,31.636106236106237
04-_We_re on a journey__ antiracist discourse in British development and humanitarian INGOs,76.03090718156542,24.622222222222224,,,,,80.281033153431,31.3125,74.63344834385373,26.4250835987812
05-Ante-victimhood of Atomic Bombing_ Inter-imperiality and Gender in Jackie Copleton_s A Diction,72.6239015457902,25.585365853658537,,,,,74.89224238686035,28.071428571428573,78.56441048281388,20.023893473368343
05-Crisis Extraordinariness_ Vibrant Relations in Michael Christie_s Greenwood,110.33141167775314,35.24242424242424,,,,,,,97.29308305125815,25.688853252856198
05-Indeed_ This Is How It Was_ Brother_ by Ali Shariati,105.04875400997769,30.71794871794872,,,,,,,98.7807964116189,21.565934065934062
05-Network_ed_ confession_ disidentification_ digitality_ and the politics of self-representation,,,,,,,119.8840579710145,23.3125,81.22329575080319,20.8050261245912
05-Technical imagining_ dispelling AI figments of the generative machine learning imagination,95.87171234570064,23.137931034482758,,,,,121.39285136129507,26.0,84.18901231141501,27.63255718954248
06-Breaking the line_ Wong May_s postcolonial and exophonic Chinese mobilities,,,,,,,104.74387571283718,22.258064516129032,96.13071983289662,26.226641065250973
06-Orbital Gaze_ Earthly Wounds_ Reading Samantha Harvey_s Orbital as Planetary Fiction,111.56720394798567,28.470588235294116,,,,,155.58678500986193,19.52173913043478,94.42336389180173,23.098680555555553
06-The Narrative Perfect and Past Perfective_ Evidence from the Diary of Samuel Pepys,73.42542991783567,16.354166666666668,,,1.0,1.0,99.37195687226838,31.333333333333332,79.41956997005158,24.004591762764225
06-_A pale view of self__ the limits of knowing and mourning in Kazuo Ishiguro_s A Pale View of H,106.33990628660679,26.5625,,,,,86.33760319380275,17.473684210526315,67.46973837822225,18.736156573922532
06-_Verbi-voco-visual explorations__ information and the object of poetry between McLuhan and Ben,,,,,,,,,66.98135482148908,24.90853825136612
