category,relpath,size_human,bytes,lines,rows_est,mtime
grobid_tei,grobid_tei/07-Grossed out by environmental breakdown_ Disgust as a literary device within Capitalocene cri-f.tei.xml,78.2KB,80112,,,2026-02-25T22:52:14
grobid_tei,grobid_tei/07-Shifting the ground beneath Singapore literature_ Archipelagic thinking in Isa Kamari_s Rawa a.tei.xml,69.3KB,71007,,,2026-02-25T22:52:16
grobid_tei,grobid_tei/07-_Where is the friend_s house___ Intimacy_ Spatiality_ and _post-_Ottoman Legacies in Sait Faik.tei.xml,98.2KB,100555,,,2026-02-25T22:52:19
grobid_tei,grobid_tei/08-An alter-native cultural imaginary of Brunei Darussalam in Tina Afiqah_s The Bubble Princess a.tei.xml,75.9KB,77766,,,2026-02-25T22:52:21
grobid_tei,grobid_tei/08-Form After the Internet Novel_ The Hermeneutics of Digital Ekphrasis.tei.xml,48.2KB,49359,,,2026-02-25T22:52:23
grobid_tei,grobid_tei/08-Masculinity_ the Environment and the Phenomenology of the Body in Beowulf.tei.xml,113.5KB,116245,,,2026-02-25T22:52:26
grobid_tei,grobid_tei/08-The Jim Crow railroad bildungsroman.tei.xml,92.3KB,94502,,,2026-02-25T22:52:28
grobid_tei,grobid_tei/08-Women in the closet in Peyami Safa_ homonationalism as an analytical category to read early re.tei.xml,68.1KB,69713,,,2026-02-25T22:52:31
grobid_tei,grobid_tei/09-An independent and unconventional character_ Fikriye_ _Everybody_s Woman_.tei.xml,90.4KB,92526,,,2026-02-25T22:52:33
grobid_tei,grobid_tei/09-Cohesion_ Exile_ Return_ Non-Human Narrative and the Shape of Diaspora Community in Never Let .tei.xml,114.7KB,117452,,,2026-02-25T22:52:37
grobid_tei,grobid_tei/09-Louise Gl_ck_s Averno_ A Feminist Reception of the Myth of Persephone.tei.xml,107.0KB,109601,,,2026-02-25T22:52:40
grobid_tei,grobid_tei/09-Of barren lands and broken promises_ Writing social change in Kourouma_s Suns of Independence .tei.xml,72.1KB,73841,,,2026-02-25T22:52:42
grobid_tei,grobid_tei/09-War_ widowhood_ and maternal grief in Jacob_s Room.tei.xml,81.0KB,82907,,,2026-02-25T22:52:44
grobid_tei,grobid_tei/10-Critique of Australia_s Bicentennial Moment in John Forbes_s The Stunned Mullet.tei.xml,69.8KB,71473,,,2026-02-25T22:52:47
grobid_tei,grobid_tei/10-Manners_ Morals_ and Happiness_ Negotiating Balance in Sense and Sensibility.tei.xml,83.6KB,85611,,,2026-02-25T22:52:49
grobid_tei,grobid_tei/10-Scaling up the Capitalocene_ paratexts_ storyworld_ and climate change in New York 2140.tei.xml,81.1KB,83063,,,2026-02-25T22:52:52
grobid_tei,grobid_tei/10-THE _DERMOGROTESQUE_ BODY_ ACNE_ ALIENATION_ AND AESTHETICS IN BUKOWSKI_S HAM ON RYE.tei.xml,85.1KB,87166,,,2026-02-25T22:52:54
grobid_tei,grobid_tei/10-When the queen of transvestites revealed it all_ Performative politics of queer life writing i.tei.xml,80.4KB,82373,,,2026-02-25T22:52:56
grobid_tei,grobid_tei/11-A Possible Way Out_ The Paradox of the Multitude in Cloud Atlas and Slade House.tei.xml,89.4KB,91520,,,2026-02-25T22:52:59
grobid_tei,grobid_tei/11-Cybernetics_ or the metatechnology of a machine.tei.xml,42.3KB,43274,,,2026-02-25T22:53:01
grobid_tei,grobid_tei/11-Oceans_ hormones and female flow in Twelfth Night.tei.xml,75.5KB,77351,,,2026-02-25T22:53:04
