section,count
Armoured Phenomenology and Grendel's Mother's Mere,1
Beowulf's Sea-Booty,1
I. Reading infrastructurally,1
II. Literary nations,1
III. Railroad selfhood,1
IV. Blues imaginaries,1
V. Railroad afterlives,1
Step-hood and sexuality,1
Reversing the inversion,1
"Selahattin Enis's legacy and Everybody's Woman, as a serial novel",1
Fikriye as a performative character,1
Homosocial culture: gay and lesbian love in Everybody's Woman,1
Social criticism and the literary canon,1
Cohesion: Construction of the Hailsham Homeland Community,1
Exile: Clone Diaspora and the Fragmentation and Consolidation of the Memory Community,1
"Return: Non-Places, Revisiting the Community, and Reconstruction of a Spiritual Homeland",1
"Demeter, Persephone and Hades in the",1
"Persephone and the Feminist Appropriation of Myth: Mothers, Daughters, Violence and Change",1
"Infernos Exposed in Louise Glück's Averno: Persephone as Echo, Wanderer and Stranger",1
Persephone: The Echo,1
Persephone: The Wanderer,1
Persephone: The Stranger,1
Suns of Independence: The specter of sterility in African societies,1
Allah Is Not Obliged: Moral decay in postcolonial Africa,1
Grief and the lexicon of absence,1
The widow: naming loss in negation,1
The mother unnamed,1
mother:,1
Mother:,1
Elegy without closure,1
"""All that speech""",1
Forbes's active targets,1
The Moment's haecceity,1
Beginnings in The Stunned Mullet,1
Memorializing in The Stunned Mullet,1
Viewing in The Stunned Mullet,1
"Between Self-expression and Social Expectations: Marianne's Emotional Authenticity and Elinor's ""General Civility""",1
The Politics of Sensibility and the Role of Fortitude in Balancing Passion,1
The Happiness of Marianne and Elinor,1
Expanding the storyworld: from James's 'extranarrative contexts' to Genette's paratexts,1
Capitalism's God-trick: reconceptualizing scales of time and space,1
Reconstructing the Capitalocene: from the capitalocenic storyworld to scaled-up temporality and spatiality,1
Waiting for a post-capitalist utopia: on the anonymity and collectivity of the citizen,1
The Dermogrotesque as a Conceptual Framework,1
Ham on Rye as an Illness (Non)Narrative In-Tension,1
Chinaski's Dermogrotesque Embodiment,1
"Surveillance, Shame, and the Skin Economy",1
The Body as a Narrative Surface,1
Acne as an Illness Narrative,1
Beyond Cure,1
The rise of confessional citizenship in neoliberal Turkey,1
Queer life writing and the politics of confession,1
Pornography and queer readership,1
The Rise of the Multitude: An Idealised Model of Resistance,1
The Multitude's Inefficiency in Claiming Political Freedom,1
Philosophy of nature and technology,1
The Galilean deduction,1
The cybernetic expansion,1
Machines,1
The being and time of machines,1
Maelzel's Chess-Player,1
Metatechnology and anthropology,1
Enduring struggle and resistance: Peasant uprisings and the fight for land in Negros,1
Depicting anticolonial defiance through forms of orality,1
Feast and Famine,1
"British-Jewish Women Writers, with a Focus on Linda Grant",1
The Mythical Construction of Jewish Memory: Foreigners in Britain,1
"Transgenerational, Generational and Relational Time: A Feminist Approach",1
"Bir, Yeryüzüne nasıl dağılmıştır Tarihi düzünden okumaya ayaklanan çocuklar?",1
Disenchanting history or straightening it up,1
Queer hauntology,1
"Cadı (The Witch, 1912)",1
"Dirilen İskelet (The skeleton that comes to life, 1923)",1
The membrane,1
Membrane-bound,1
Thinking through the skin,1
Story of your life,1
Land and history,1
Land and bloodlines,1
Land and bodies,1
Oedipus the King,1
The Cultural Revolution and the Destruction of the Patriarchal Ideal,1
"Violence, Sex, and Power: Predatory Masculinity as the Hegemonic Model and the Ascent of Baldy Li",1
"Farewell to the Bygone Past: Soft Masculinity, the Loss of Manhood and the Demise of Song Gang",1
Caste as a social technology and as a kinopolitical arrangement,1
"Subaltern social pedesis: Rethinking mobility, agency, and resistance",1
Embodied precarity and the politics of expulsion in The White Tiger,1
"Systemic precarity, volatile subjects, and mobility",1
"The metaphor of the ""rooster-coop"": Psychosocial and economic incapacitation",1
Subaltern pedesis as a visceral politics of resistance,1
"Dangerous bodies, a corrupted tongue",1
Section 2: Ethical Consistency and the Deterritorialization of the Human,1
The Ethical Assemblage and the Perjury Conflict,1
"Sovereignty, Violence, and Reterritorialization",1
Solar Becoming: The Posthuman Assemblage,1
The Critique of Capaldi: Transhumanism Vs. Relational Posthumanism,1
The Mother's Grief and Becoming-Ghost,1
"The Minority Assemblage: Rick, Klara, and the Resistance to Optimization",1
The Yard and the Ethics of Disposability,1
The Conflict of Assemblages: Molar Loyalty and Molecular Ethics,1
The Twenty-First-Century Witness,1
"Disposability, Reterritorialization, and the Refusal of Recognition",1
Final Reflection: Toward Posthuman Reciprocity,1
The Workings of Affect: The Turn from Trauma to Affect,1
"Affective Landscapes, Assemblages and Energy in Where They Were Missed",1
Affective Landscapes of Home and the City,1
Affective Assemblages,1
Affective Energy,1
"Ralahine, radicalism, and the rural commune",1
's account of Ralahine in,1
"Priests, peasants, and The Plough and The Cross",1
Hope and holy wells,1
Literary bodies: Living and writing queerly,1
Contentious queerness,1
Defamiliarizing familiarity,1
Disorienting narrative,1
Deterritorialising Chineseness,1
"Cosmopolitanising ""British Chinese""",1
Reconstituting Asian Subjectivity,1
Panarchy Loops as a Structuring Conceptual Form,1
Arboreality's Feedback Loop Aesthetics: The Adaptive Short Story Cycle,1
Arboreality's Front Loop,1
Arboreality's Back Loop,1
Ghosts in the archive,1
İstanbul Ansiklopedisi: a collection without origin,1
"Reading about the past, thinking about the future",1
Advertising paratexts: Gregory Corso's 'For Black Mountain',1
Playing poet: Brooke's 'Monkey Brand' soap,1
Like advertising: poetry and commercial affect,1
Dissonance at the Stuttgart School,1
"University of Stuttgart, February 5, 1965",1
Generative aesthetics in action,1
III,1
IV,1
V,1
From Faith to Disillusionment: Baldwin and Hosseini on Religious Hypocrisy,1
The Church and Gabriel: Embodiments of Hypocrisy and Oppression In Go Tell it on the Mountain,1
The Mullahs and the Taliban: Embodiments of Hypocrisy and Oppression in The Kite Runner,1
Confronting Religious Hypocrisy: A Journey Toward Justice and Freedom,1
Three diasporic writings,1
Power differentials in a postcolonial context,1
From representation to mediation: Rethinking diasporic writings in translation,1
Writing and translating across power differentials: Paratextual mediation,1
Reinforcing the east-west dichotomy,1
Exoticizing and stereotyping the cultural other,1
Wild Swans,1
Writing and (self-)orientalizing for publication,1
Byron in Missolonghi,1
The Ottoman Perspective to Byron's Activities in Missolonghi,1
"Concrete confusion, or, one bad apple?",1
Aesthetics as information: Bense's borrowings,1
Concrete computing,1
Kinship time: Decentring humans and recentring interdependence,1
An evolving view of evolutionary time,1
Adapting evolutionary and kinship time: Challenging reproductive futurity,1
II. Realizing the Virtual: Toward an Infrastructural Realism,1
III. Historicizing the Virtual: Toward a Historical Poetics of Infrastructure,1
IV. Ethicizing the Virtual: Toward the Infrapolitics of Virtuality,1
The Silenced Story,1
Structured Unreliabilities,1
Naming Games and the Godkin Twins,1
"A Lost Child, a Girl Misplaced in Time",1
The Burning Hayshed -the Burning Circus,1
Mothers and Lovers,1
The Puzzle Maker and the Juggler,1
Care in theory: from second wave feminism to contemporary political thought,1
"Precarious care: eroding infrastructures, fractured forms",1
Caring masculinities,1
Care and aesthetic forms: webs and cycles,1
Care and repair: places in Tidal Zone,1
People were crushed and burnt.,1
Music as information,1
Create a random universe,1
Opposites attract,1
In defense of redundancy,1
Mapping Allergy,1
Allergy and Environmental Changes,1
Allergy and Industrial Imperialism,1
The Ethics of Attention at Transmodern Times,1
Surveillance and the Breakdown of Ethical Attention,1
Failed Ideals: Ethical Blindness and Environmentalism without Grounding,1
Birnam Wood as a Transmodern Narrative of the Limit,1
"Bridge, everyday life, and the Beijing Legation Quarter",1
"Domestic settings, garden, and local landscape",1
Mrs. Leroy's neighbourhood and social circle,1
Daily routines and party conversations,1
Monstrous Evolution and the Denial of Extinction,1
Monstrous Reproduction and the Feminine Abyss,1
Monstrous Whiteness and Male Anxiety,1
Disneyland and the Absorption of Utopian Desire,1
Cocaine Nights and the pathology of transgression,1
The Dialectic of Estrella de Mar and Residencia Costasol,1
Cinematic Mediation and Postmodern Hyperreality,1
"Mary, Star of the Sea",1
The Making and Unmaking of Holm-wudu,1
Resisting totalising language: Woolf and Levinas in conversation,1
Reading newspapers: reimagining the said into the saying,1
Two paintings: the possibility of silent Saying,1
La Trobe's pageant: interrupting the Said of English history,1
'The Present Time. Ourselves': deconstructing language and the self,1
'Words without meaning': Woolf's new vision of community and language,1
Magical Temporality and Narrative Sovereignty,1
Grotesque Bodies and Institutional Absurdity,1
Reframing The Republic of Wine in Global Dystopian Literature,1
Reading the land: morphologies of natural and cultural landscapes,1
"Natural landscape narrative in Refuge: vanishing birds, rising waters",1
"Cultural landscape narrative in Refuge: trauma, redemption and linear nostalgia",1
Unveiling the covert: dual narrative processes in Refuge,1
Narrative of mourning: shared memories of family and land,1
Narrative of invisible ecology: the body as an archive of ecological trauma,1
"""The Ghosts Won't Rest"" -Historical Dissonance and Haunting in The Trees",1
"""Laughter in the Dark"" -Satire, Absurdity, and the Comedy of Racial Trauma",1
