file_stem,sec_Abstract_total_words,sec_Abstract_total_sentences,sec_Abstract_avg_sentence_len,sec_Abstract_median_sentence_len,sec_Abstract_sd_sentence_len,sec_Abstract_sent_gt_40_count,sec_Abstract_sent_lt_12_count,sec_Abstract_sent_gt_40_pct,sec_Abstract_sent_lt_12_pct,sec_Abstract_sentence_bin_counts,sec_Abstract_semicolons_total,sec_Abstract_colons_total,sec_Abstract_double_dashes_total,sec_Abstract_mtld,sec_Abstract_word_share,sec_Introduction_total_words,sec_Introduction_total_sentences,sec_Introduction_avg_sentence_len,sec_Introduction_median_sentence_len,sec_Introduction_sd_sentence_len,sec_Introduction_sent_gt_40_count,sec_Introduction_sent_lt_12_count,sec_Introduction_sent_gt_40_pct,sec_Introduction_sent_lt_12_pct,sec_Introduction_sentence_bin_counts,sec_Introduction_semicolons_total,sec_Introduction_colons_total,sec_Introduction_double_dashes_total,sec_Introduction_mtld,sec_Introduction_word_share,sec_Argument_total_words,sec_Argument_total_sentences,sec_Argument_avg_sentence_len,sec_Argument_median_sentence_len,sec_Argument_sd_sentence_len,sec_Argument_sent_gt_40_count,sec_Argument_sent_lt_12_count,sec_Argument_sent_gt_40_pct,sec_Argument_sent_lt_12_pct,sec_Argument_sentence_bin_counts,sec_Argument_semicolons_total,sec_Argument_colons_total,sec_Argument_double_dashes_total,sec_Argument_mtld,sec_Argument_word_share,sec_Framework_total_words,sec_Framework_total_sentences,sec_Framework_avg_sentence_len,sec_Framework_median_sentence_len,sec_Framework_sd_sentence_len,sec_Framework_sent_gt_40_count,sec_Framework_sent_lt_12_count,sec_Framework_sent_gt_40_pct,sec_Framework_sent_lt_12_pct,sec_Framework_sentence_bin_counts,sec_Framework_semicolons_total,sec_Framework_colons_total,sec_Framework_double_dashes_total,sec_Framework_mtld,sec_Framework_word_share,sec_Discussion_total_words,sec_Discussion_total_sentences,sec_Discussion_avg_sentence_len,sec_Discussion_median_sentence_len,sec_Discussion_sd_sentence_len,sec_Discussion_sent_gt_40_count,sec_Discussion_sent_lt_12_count,sec_Discussion_sent_gt_40_pct,sec_Discussion_sent_lt_12_pct,sec_Discussion_sentence_bin_counts,sec_Discussion_semicolons_total,sec_Discussion_colons_total,sec_Discussion_double_dashes_total,sec_Discussion_mtld,sec_Discussion_word_share,sec_Conclusion_total_words,sec_Conclusion_total_sentences,sec_Conclusion_avg_sentence_len,sec_Conclusion_median_sentence_len,sec_Conclusion_sd_sentence_len,sec_Conclusion_sent_gt_40_count,sec_Conclusion_sent_lt_12_count,sec_Conclusion_sent_gt_40_pct,sec_Conclusion_sent_lt_12_pct,sec_Conclusion_sentence_bin_counts,sec_Conclusion_semicolons_total,sec_Conclusion_colons_total,sec_Conclusion_double_dashes_total,sec_Conclusion_mtld,sec_Conclusion_word_share
07-Shifting the ground beneath Singapore literature_ Archipelagic thinking in Isa Kamari_s Rawa a,145,4,36.25,36.0,10.594810050208546,2,0,0.5,0.0,"{""41_50"": 2, ""21_30"": 2}",0,1,0,170.36444444444447,0.021301601292786836,,,,,,,,,,,,,,,,4402,159,27.540880503144653,27.0,15.288260631734989,35,23,0.22012578616352202,0.14465408805031446,"{""12_20"": 35, ""lt12"": 23, ""31_40"": 29, ""21_30"": 37, ""41_50"": 25, ""gt50"": 10}",4,10,0,85.60329634631407,0.6466872337299838,,,,,,,,,,,,,,,,1782.0,54.0,32.7962962962963,32.0,14.757639057520734,17.0,3.0,0.3148148148148148,0.05555555555555555,"{""41_50"": 10, ""21_30"": 14, ""12_20"": 8, ""31_40"": 12, ""lt12"": 3, ""gt50"": 7}",0.0,2.0,0.0,107.12328754008902,0.2617893345085941,478.0,25.0,18.92,17.0,14.59429112130265,3.0,10.0,0.12,0.4,"{""41_50"": 3, ""21_30"": 4, ""31_40"": 3, ""lt12"": 10, ""12_20"": 5}",2.0,1.0,0.0,115.65616087084652,0.07022183046863523
07-_Where is the friend_s house___ Intimacy_ Spatiality_ and _post-_Ottoman Legacies in Sait Faik,171,6,25.833333333333332,26.0,11.070983093956322,0,0,0.0,0.0,"{""21_30"": 2, ""31_40"": 2, ""12_20"": 2}",0,1,0,69.7173546859361,0.015859766277128547,,,,,,,,,,,,,,,,9873,401,23.820448877805486,18.0,21.469226367012038,80,156,0.19950124688279303,0.38902743142144636,"{""21_30"": 58, ""gt50"": 42, ""lt12"": 156, ""41_50"": 38, ""31_40"": 50, ""12_20"": 57}",37,59,0,73.59555825420772,0.9156928213689483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.0,17.0,41.1764705882353,37.0,30.804292099717305,8.0,3.0,0.47058823529411764,0.17647058823529413,"{""12_20"": 3, ""31_40"": 2, ""21_30"": 1, ""gt50"": 6, ""lt12"": 3, ""41_50"": 2}",2.0,2.0,0.0,108.71715145436309,0.06844741235392321
08-An alter-native cultural imaginary of Brunei Darussalam in Tina Afiqah_s The Bubble Princess a,150,6,24.5,23.0,7.582875444051551,0,0,0.0,0.0,"{""31_40"": 2, ""21_30"": 2, ""12_20"": 2}",0,0,0,95.43310190483456,0.025210084033613446,1196.0,43.0,27.511627906976745,28.0,8.60888824475212,3.0,1.0,0.06976744186046512,0.023255813953488372,"{""21_30"": 21, ""31_40"": 12, ""12_20"": 6, ""41_50"": 3, ""lt12"": 1}",7.0,1.0,0.0,123.28206670692883,0.20100840336134454,1859,71,25.802816901408452,25.0,10.509342399312906,5,5,0.07042253521126761,0.07042253521126761,"{""31_40"": 13, ""21_30"": 33, ""12_20"": 15, ""41_50"": 4, ""gt50"": 1, ""lt12"": 5}",0,3,0,114.30812091604847,0.31243697478991594,2269.0,96.0,23.458333333333332,23.5,14.756205949873692,9.0,20.0,0.09375,0.20833333333333334,"{""31_40"": 18, ""21_30"": 28, ""gt50"": 6, ""12_20"": 21, ""lt12"": 20, ""41_50"": 3}",8.0,7.0,0.0,106.09599974611638,0.38134453781512606,,,,,,,,,,,,,,,,476.0,20.0,23.8,20.5,16.678381847548387,3.0,4.0,0.15,0.2,"{""41_50"": 2, ""31_40"": 3, ""21_30"": 4, ""lt12"": 4, ""12_20"": 6, ""gt50"": 1}",0.0,1.0,0.0,109.64419034419033,0.08
08-Form After the Internet Novel_ The Hermeneutics of Digital Ekphrasis,146,6,24.333333333333332,24.5,9.025888691240695,0,0,0.0,0.0,"{""21_30"": 3, ""31_40"": 1, ""12_20"": 2}",0,0,0,57.48979491839498,0.03190559440559441,,,,,,,,,,,,,,,,4430,164,26.701219512195124,24.5,12.806813695501054,22,13,0.13414634146341464,0.07926829268292683,"{""21_30"": 51, ""lt12"": 13, ""31_40"": 31, ""41_50"": 14, ""12_20"": 47, ""gt50"": 8}",9,14,0,123.71526355586062,0.9680944055944056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Masculinity_ the Environment and the Phenomenology of the Body in Beowulf,70,3,22.666666666666668,25.0,8.736894948054106,0,0,0.0,0.0,"{""12_20"": 1, ""21_30"": 2}",0,0,0,60.64007782101167,0.006314270250766733,567.0,26.0,21.653846153846153,19.5,12.53775835687483,3.0,3.0,0.11538461538461539,0.11538461538461539,"{""12_20"": 11, ""21_30"": 6, ""lt12"": 3, ""31_40"": 3, ""41_50"": 3}",0.0,1.0,0.0,58.35110785141127,0.05114558903121053,10274,505,20.017821782178217,19.0,13.722652429118709,38,137,0.07524752475247524,0.2712871287128713,"{""31_40"": 61, ""lt12"": 137, ""21_30"": 125, ""12_20"": 144, ""41_50"": 27, ""gt50"": 11}",20,28,0,76.31755810152507,0.9267544650911059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,7.0,24.857142857142858,23.0,11.936339073442513,1.0,0.0,0.14285714285714285,0.0,"{""21_30"": 3, ""12_20"": 3, ""41_50"": 1}",0.0,1.0,0.0,67.90825153794562,0.015785675626916833
08-The Jim Crow railroad bildungsroman,139,4,34.75,35.0,11.926860441876563,2,0,0.5,0.0,"{""21_30"": 2, ""41_50"": 2}",0,0,0,94.44049694856147,0.015844067023823093,,,,,,,,,,,,,,,,8634,392,21.887755102040817,21.0,14.39141023505627,34,86,0.08673469387755102,0.2193877551020408,"{""12_20"": 102, ""21_30"": 104, ""31_40"": 66, ""lt12"": 86, ""41_50"": 19, ""gt50"": 15}",12,42,0,86.95049774588733,0.9841559329761769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Women in the closet in Peyami Safa_ homonationalism as an analytical category to read early re,117,5,22.6,18.0,9.154233993076646,0,0,0.0,0.0,"{""21_30"": 1, ""12_20"": 3, ""31_40"": 1}",0,0,0,123.79588235294119,0.0173256330519769,629.0,29.0,21.20689655172414,23.0,12.843506726148844,2.0,6.0,0.06896551724137931,0.20689655172413793,"{""21_30"": 11, ""12_20"": 7, ""31_40"": 3, ""gt50"": 1, ""41_50"": 1, ""lt12"": 6}",5.0,3.0,0.0,128.65892116182573,0.09314378794609803,5539,259,20.81853281853282,20.0,10.105350306435657,14,42,0.05405405405405406,0.16216216216216217,"{""41_50"": 12, ""21_30"": 80, ""12_20"": 98, ""lt12"": 42, ""31_40"": 25, ""gt50"": 2}",16,19,0,93.66515563045814,0.8202280467940175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.0,18.0,25.166666666666668,20.0,13.174172593730955,3.0,1.0,0.16666666666666666,0.05555555555555555,"{""31_40"": 2, ""12_20"": 8, ""21_30"": 4, ""lt12"": 1, ""41_50"": 2, ""gt50"": 1}",1.0,1.0,0.0,101.20082169268693,0.0693025322079076
09-An independent and unconventional character_ Fikriye_ _Everybody_s Woman_,198,11,17.818181818181817,16.0,8.841020097456875,1,2,0.09090909090909091,0.18181818181818182,"{""12_20"": 7, ""21_30"": 1, ""lt12"": 2, ""41_50"": 1}",0,0,0,108.82826751726682,0.020311858842839557,523.0,18.0,28.77777777777778,29.5,13.86300856726085,2.0,1.0,0.1111111111111111,0.05555555555555555,"{""21_30"": 6, ""31_40"": 5, ""12_20"": 4, ""41_50"": 1, ""gt50"": 1, ""lt12"": 1}",0.0,1.0,0.0,77.28481054453366,0.05365203118588428,6592,282,22.914893617021278,21.0,12.157032650741902,22,42,0.07801418439716312,0.14893617021276595,"{""21_30"": 79, ""12_20"": 94, ""gt50"": 11, ""lt12"": 42, ""31_40"": 45, ""41_50"": 11}",19,39,0,94.49424469747885,0.676241280262618,1978.0,90.0,21.677777777777777,21.0,12.540117894341941,7.0,18.0,0.07777777777777778,0.2,"{""12_20"": 24, ""lt12"": 18, ""21_30"": 28, ""41_50"": 5, ""31_40"": 13, ""gt50"": 2}",5.0,6.0,0.0,101.9521930875797,0.20291341813705374,,,,,,,,,,,,,,,,457.0,19.0,24.05263157894737,24.0,7.604630783721531,0.0,2.0,0.0,0.10526315789473684,"{""21_30"": 9, ""12_20"": 4, ""31_40"": 4, ""lt12"": 2}",0.0,0.0,0.0,115.25,0.04688141157160443
09-Cohesion_ Exile_ Return_ Non-Human Narrative and the Shape of Diaspora Community in Never Let ,192,6,32.0,33.5,6.099180272790763,0,0,0.0,0.0,"{""21_30"": 2, ""31_40"": 4}",0,0,0,88.47176913425346,0.015158692562766462,2300.0,70.0,32.7,33.0,14.501724035437993,20.0,4.0,0.2857142857142857,0.05714285714285714,"{""21_30"": 19, ""12_20"": 9, ""lt12"": 4, ""31_40"": 18, ""41_50"": 13, ""gt50"": 7}",5.0,3.0,0.0,95.18370644286364,0.18158850465813992,9275,341,27.131964809384165,25.0,13.327002838507296,49,36,0.1436950146627566,0.10557184750733138,"{""31_40"": 81, ""12_20"": 80, ""21_30"": 95, ""41_50"": 30, ""gt50"": 19, ""lt12"": 36}",17,15,0,113.22845214823552,0.7322753829148902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.0,27.0,33.333333333333336,34.0,12.137038036839645,6.0,0.0,0.2222222222222222,0.0,"{""31_40"": 11, ""12_20"": 4, ""41_50"": 5, ""gt50"": 1, ""21_30"": 6}",0.0,1.0,0.0,113.44896602136018,0.07097741986420338
09-Louise Gl_ck_s Averno_ A Feminist Reception of the Myth of Persephone,116,4,27.75,26.0,10.404326023342406,1,0,0.25,0.0,"{""12_20"": 1, ""21_30"": 2, ""41_50"": 1}",0,0,0,71.90736572023334,0.010270940322295023,1989.0,103.0,18.941747572815533,19.0,14.487198705333364,6.0,34.0,0.05825242718446602,0.3300970873786408,"{""21_30"": 26, ""31_40"": 17, ""lt12"": 34, ""12_20"": 20, ""41_50"": 4, ""gt50"": 2}",9.0,6.0,0.0,85.97859525616612,0.17611120949176554,8491,464,18.073275862068964,18.0,13.52794951894908,29,166,0.0625,0.3577586206896552,"{""31_40"": 52, ""21_30"": 128, ""12_20"": 89, ""lt12"": 166, ""gt50"": 5, ""41_50"": 24}",34,73,0,89.17504818422009,0.7518151230741987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.0,27.0,25.37037037037037,21.0,12.462707904748804,4.0,1.0,0.14814814814814814,0.037037037037037035,"{""41_50"": 3, ""31_40"": 3, ""gt50"": 1, ""12_20"": 12, ""21_30"": 7, ""lt12"": 1}",1.0,1.0,0.0,112.9695945945946,0.06180272711174075
